,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,distilled,teacher_variance,headway_mean54009,headway_mean54339,headway_mean54329,headway_mean54319,headway_mean54101,headway_mean66091,headway_mean66031,headway_mean66041,headway_mean66051,headway_mean66379,headway_mean66359,headway_mean62141,headway_mean62059,headway_mean62049,headway_mean62039,headway_mean62029,headway_mean62019,headway_mean70309,headway_mean70299,headway_mean70289,headway_mean70279,headway_mean70269,headway_mean71161,headway_mean71151,headway_mean71141,headway_mean71121,headway_mean71131,headway_mean71091,headway_mean72021,headway_mean72061,headway_mean72071,headway_mean84499,headway_mean84489,headway_mean84461,headway_mean84471,headway_mean84621,headway_mean84611,headway_mean84631,headway_mean84601,headway_mean75341,headway_mean75061,headway_mean76289,headway_mean76129,headway_mean76119,headway_mean76051,headway_mean75009,headway_var54009,headway_var54339,headway_var54329,headway_var54319,headway_var54101,headway_var66091,headway_var66031,headway_var66041,headway_var66051,headway_var66379,headway_var66359,headway_var62141,headway_var62059,headway_var62049,headway_var62039,headway_var62029,headway_var62019,headway_var70309,headway_var70299,headway_var70289,headway_var70279,headway_var70269,headway_var71161,headway_var71151,headway_var71141,headway_var71121,headway_var71131,headway_var71091,headway_var72021,headway_var72061,headway_var72071,headway_var84499,headway_var84489,headway_var84461,headway_var84471,headway_var84621,headway_var84611,headway_var84631,headway_var84601,headway_var75341,headway_var75061,headway_var76289,headway_var76129,headway_var76119,headway_var76051,headway_var75009
0,2721,3.458141013123523,1.2079604954897671,-1.6595492278525852,-1.6349286644779597,-0.024620563374625322,6.092264413921557,0.12305930334612329,654.6999616196507,1397.0587219343697,937.5971982345039,16.48795509315543,0,0,874.551724137931,875.8620689655172,876.0172413793103,876.1551724137931,876.948275862069,877.8103448275862,878.2586206896551,878.8448275862069,879.2068965517242,879.5,879.948275862069,880.3793103448276,880.8793103448276,881.2586206896551,881.5689655172414,882.1724137931035,882.3275862068965,882.7241379310345,882.9137931034483,883.2241379310345,883.6724137931035,884.0,884.1379310344828,884.3103448275862,884.6206896551724,885.2241379310345,885.5344827586207,886.2241379310345,886.5689655172414,887.1034482758621,887.3448275862069,888.0862068965517,888.6379310344828,889.5172413793103,890.051724137931,890.0862068965517,890.551724137931,890.7413793103449,890.9827586206897,891.3448275862069,891.6896551724138,892.3448275862069,892.2586206896551,892.6034482758621,893.0344827586207,893.6379310344828,91471.86801426871,109891.60166468489,115357.43073721761,121555.64833531508,137040.32491082043,150105.5674791914,156746.39863258024,167113.78626634955,178146.1640903686,194457.1120689655,208537.49732461356,236141.23543400713,249873.86474435197,270794.4675980975,279151.14179548156,295916.1426872771,308257.0133769322,318631.4411414982,323476.35463733657,338706.7945897741,356038.87544589775,363045.6896551724,378936.63614744344,392660.4209274674,411981.5112960761,423989.2428656362,434511.007431629,466948.2428656362,489612.00386444706,516725.644470868,555614.2948870391,583284.6304994056,623354.196492271,642783.2841854936,649020.6007728892,700305.1477407848,725487.3852556482,731004.5710463735,750969.1893579073,769756.398335315,791395.0760998812,797908.5362663496,830122.6744946492,877498.8255053507,895556.48156956,924331.5068370987
0,1061,4.9783674231890975,1.1593855884054611,-1.2884612655817718,-1.2632237241109763,-0.025237541470795828,6.406702321964453,0.126382689108983,587.2650151488149,1328.8574229192657,784.4526822313313,10.270184120836593,0,0,874.551724137931,875.4827586206897,875.5344827586207,875.7413793103449,875.9655172413793,876.3793103448276,876.4310344827586,876.6379310344828,876.6724137931035,876.5344827586207,876.5689655172414,876.6724137931035,876.8448275862069,876.948275862069,877.2758620689655,877.3793103448276,877.8965517241379,878.0689655172414,878.1896551724138,878.3103448275862,878.8793103448276,879.0,879.1206896551724,879.1206896551724,879.2068965517242,879.2931034482758,879.4137931034483,879.7241379310345,880.2241379310345,880.6896551724138,880.7758620689655,880.9655172413793,881.2413793103449,881.3620689655172,881.7241379310345,881.8275862068965,881.948275862069,882.2931034482758,882.9310344827586,883.1034482758621,883.6379310344828,883.9310344827586,883.8620689655172,884.2068965517242,884.2931034482758,884.5344827586207,91471.86801426871,100530.90487514866,107348.80053507727,113325.9848394768,122646.58501783591,133940.2009512485,142389.62455410228,151675.2654577883,160468.94441141502,170964.97294887036,180535.45214030915,198336.84096313914,210325.09661117714,226394.35939357913,233026.16527942923,242832.8216409037,245689.54102259214,252951.89179548156,260120.3605826397,268568.76575505355,284241.1750891796,297946.1034482759,311524.86474435194,323844.89922711055,338169.0951248514,349650.6209869204,361955.86325802613,379037.4756242569,387152.7256242569,398344.21403091564,409157.17390011885,424983.6884661118,444188.631391201,459844.6447681331,467849.2687277051,490355.6599286564,506699.01456599287,517353.5865041618,522614.09869203327,535259.644470868,558421.6447681332,571390.5469678954,591855.8085612366,610538.6468489893,619168.103745541,630169.7660523186
0,1986,6.409430490142998,1.197588990645847,-1.5486773343248006,-1.4671183529099645,-0.08155898141483565,22.826866715998435,0.406527365549665,664.2442003514939,1545.8622144112478,1095.3871704745168,16.974318410345475,0,0,874.551724137931,875.2068965517242,875.1896551724138,875.2586206896551,874.4137931034483,873.7241379310345,873.6551724137931,873.3275862068965,872.9827586206897,872.4827586206897,872.448275862069,872.1551724137931,871.9655172413793,870.9827586206897,871.5344827586207,870.948275862069,871.1896551724138,871.6551724137931,871.7931034482758,870.9827586206897,870.7586206896551,870.4310344827586,870.1206896551724,869.948275862069,869.8793103448276,869.4827586206897,869.3275862068965,868.5344827586207,868.6379310344828,868.2413793103449,868.5862068965517,868.5862068965517,867.6551724137931,867.2758620689655,866.9827586206897,866.6551724137931,866.2413793103449,865.948275862069,865.6379310344828,865.6896551724138,865.2931034482758,864.551724137931,863.6034482758621,862.9827586206897,863.2068965517242,862.4137931034483,91471.86801426871,106525.02615933413,105714.08472057075,111997.43311533889,121158.79429250892,136817.26872770512,146895.501783591,157667.1857907253,169585.4652199762,190783.8014268728,202697.66111771698,229179.06212841853,241611.44708680143,264102.46521997615,269426.86950059456,290942.73870392394,302881.877824019,318562.7776456599,329632.9916765754,347749.672116528,372209.1831153389,380567.9004161713,385874.6923305589,388883.25594530324,404343.6233650416,401704.5600475624,406849.73751486326,435563.6281212842,445855.9206302022,457397.35552913195,476103.1046373365,487953.7253269917,532667.5362663496,544675.4411414982,550977.9479785969,590657.8466111772,604695.7003567182,608478.2214625445,608224.4033888229,627384.2829964327,643821.7934007135,644832.8680142687,654236.7565398336,682323.9134958384,686608.7847800239,702711.8632580262
0,429,7.697901344847405,1.282596135619043,-1.1754906325028858,-1.0337741000350618,-0.14171653246782462,40.501220729291006,0.7065418105325191,586.2167762749721,1607.873185258717,1148.6028043181536,12.72094952892766,0,0,874.551724137931,876.0,876.8103448275862,877.4137931034483,878.1724137931035,879.3448275862069,879.6551724137931,880.1724137931035,880.5344827586207,880.8620689655172,881.2068965517242,881.7586206896551,882.7931034482758,882.7068965517242,883.6896551724138,884.2241379310345,884.2931034482758,885.0172413793103,885.8275862068965,886.1896551724138,886.7931034482758,887.3793103448276,888.6896551724138,889.2241379310345,889.5172413793103,890.4137931034483,891.448275862069,891.9310344827586,892.8965517241379,893.5862068965517,894.1379310344828,894.7068965517242,895.1724137931035,895.9310344827586,896.2068965517242,896.6206896551724,897.7586206896551,897.9655172413793,898.3448275862069,898.6206896551724,898.9827586206897,899.8965517241379,900.0862068965517,900.3275862068965,900.5862068965517,901.5344827586207,91471.86801426871,103803.93103448275,107300.56747919144,110149.48394768135,113563.90130796672,128899.15695600474,137303.0535077289,145639.7633769322,154641.42122473248,163131.6016646849,170092.92271105826,186517.4244946492,193209.09512485136,203601.79340071345,209662.73127229488,220435.8635552913,224855.58650416168,229398.98246135554,231652.5219976219,241876.91230677764,251199.6468489893,255617.68370986922,261247.66230677764,273688.1049346017,277572.52556480386,290917.51843043993,306996.14387633774,337810.7193816884,343128.7479191439,371146.5529131986,382786.25683709857,404879.51753864443,436639.9357907252,452812.27110582637,466341.5434007134,493516.0975029725,512098.80380499415,525880.48156956,542203.1914387634,569199.4423305588,604151.5686682521,654811.5755053508,681864.3201545778,705717.392687277,726077.3460166468,763023.3522592153
0,745,9.499501113233896,1.5745450828609793,-2.219609206875479,-2.021099242858234,-0.19850996401724483,57.2048800657131,0.9925987555881332,768.0016318537859,2011.6817885117493,1695.929503916449,17.29878614016661,0,0,874.551724137931,875.1724137931035,875.7413793103449,876.2241379310345,876.5,877.1379310344828,877.8275862068965,878.7413793103449,879.0172413793103,878.4655172413793,879.2931034482758,880.3103448275862,881.3793103448276,882.0,883.3275862068965,883.2586206896551,883.5172413793103,884.448275862069,884.9137931034483,885.3965517241379,885.6896551724138,886.8793103448276,887.6379310344828,888.1551724137931,888.4827586206897,889.4310344827586,890.1379310344828,891.6379310344828,892.9310344827586,894.3448275862069,895.3620689655172,895.8448275862069,896.7413793103449,897.5344827586207,898.0,900.6206896551724,901.2586206896551,904.6034482758621,906.0862068965517,907.7241379310345,908.6034482758621,910.8103448275862,912.0862068965517,913.4827586206897,914.3448275862069,914.9827586206897,91471.86801426871,108604.00475624255,117370.53656361473,122780.07045184304,133965.97413793104,156966.77407847805,172100.52199762187,189824.01932223546,202794.18935790725,223902.24881093937,239833.4485731272,261937.69678953628,278646.2009512485,291058.2068965517,301505.73751486326,318954.08828775265,330514.93935790734,345263.93697978597,371753.45808561245,395142.37722948863,438884.24851367425,473199.93370986916,496249.5758026159,531117.1655766944,558394.2152199761,593474.7624851367,629774.0844233057,695386.9551129609,749876.3400713438,822724.5362663495,860590.8516646848,939000.9931629013,1005827.8124256837,1080410.0763971463,1149051.8275862068,1206273.8906064208,1280628.260701546,1312534.5496432814,1376595.5270511298,1447076.4756242568,1518658.3427467297,1599504.36058264,1665011.251189061,1752557.2497027349,1840256.225921522,1968983.6376337693
0,578,11.061078077075123,1.8171294340114483,-1.5256521081278787,-1.3917136651007518,-0.1339384430271267,38.29160988628602,0.6684477416750821,712.0240904964737,1696.1395153969695,1315.0040499965087,15.281859923483696,0,0,874.551724137931,876.6379310344828,877.3448275862069,877.5,879.1034482758621,881.3103448275862,882.3275862068965,883.0,883.6551724137931,884.448275862069,885.0862068965517,886.0689655172414,887.7241379310345,888.6551724137931,889.3965517241379,890.2241379310345,890.6724137931035,891.6206896551724,892.1551724137931,892.2241379310345,893.1379310344828,893.8965517241379,894.6896551724138,895.1551724137931,895.8275862068965,896.6724137931035,897.8965517241379,898.8103448275862,899.5862068965517,901.4137931034483,902.1379310344828,903.0172413793103,904.0689655172414,904.6034482758621,905.8103448275862,906.0862068965517,907.0689655172414,908.3620689655172,910.0172413793103,911.2068965517242,912.4827586206897,913.8965517241379,913.948275862069,914.8965517241379,915.3965517241379,916.6379310344828,91471.86801426871,109509.74821640905,110369.01902497027,111746.83620689655,126514.67895362663,143436.4554102259,155953.7719976219,172204.24137931035,187297.63971462546,209621.76456599284,219019.87187871584,247375.02972651605,272120.1652794293,298922.1569560048,302551.65309155773,322771.13941736025,334051.70303210465,334522.2009512485,342795.6828180737,358917.6911414982,376204.1189060642,384385.64447086805,400225.52437574306,407003.02764566,421654.17717003566,444994.70303210465,463822.5065398335,492137.6364447087,515511.55291319866,528261.5184304399,542764.6706302022,578075.1203923901,611051.2021403091,639196.0324019025,666005.1536860879,690448.0442925091,718066.0297265161,727546.0585612366,745178.3962544589,770816.8537455411,801159.422116528,850392.196195006,864977.186979786,912511.2306777646,936012.5151605232,974970.7826991678
0,1831,12.898195266723633,1.9849182798944671,-1.856509964579943,-1.7455701466399147,-0.11093981794002881,31.425184097726802,0.5543438788413848,668.3912537799488,1673.652477320307,1236.7720400093044,14.260626976953967,0,0,874.551724137931,875.5344827586207,876.1206896551724,876.7068965517242,877.1034482758621,877.5,878.051724137931,878.6379310344828,879.1034482758621,878.7931034482758,879.1551724137931,879.3965517241379,879.8275862068965,879.9310344827586,880.3103448275862,880.8448275862069,881.2068965517242,881.6206896551724,881.8275862068965,882.5,883.3620689655172,883.2931034482758,883.2931034482758,883.3103448275862,884.0862068965517,885.0,885.5,885.9310344827586,885.8275862068965,886.6551724137931,887.1896551724138,887.2586206896551,887.1206896551724,887.3448275862069,888.0172413793103,888.3103448275862,888.6034482758621,888.8965517241379,888.8793103448276,889.1206896551724,889.948275862069,890.6896551724138,890.4137931034483,891.4827586206897,891.6034482758621,892.3793103448276,91471.86801426871,98985.76605231865,100647.89922711057,105432.37960760998,112899.85136741973,124008.04310344828,133161.7731866825,153335.16200951245,163297.92033293695,178318.71581450655,190601.3379904875,212709.75653983353,235474.97027348392,256735.581450654,272566.3864447087,295462.40695600474,302246.68133174797,328304.7526753865,333174.0392390012,350289.6982758621,365784.05856123666,384770.1382282997,397651.7589179548,406921.59334126045,431001.8373959572,452118.1034482759,469047.5603448276,513336.40903686086,533618.7978596909,574193.7431629014,608130.7398929844,658711.6400118906,715381.8302615933,750354.4328180737,784072.7410820451,813887.903686088,851783.1013674198,887574.8168846613,917431.4854340071,953394.0371581451,997326.9111177172,1048664.35196195,1093037.0011890607,1137776.4910820452,1168794.6875743163,1241503.9250891795
0,528,14.621383223040349,2.3598382233203146,-1.7222384103065793,-1.5417529245198645,-0.18048548578671528,51.7734070523361,0.9002609037031751,776.567174661142,1818.2819720485988,1572.7755460355363,15.02233589540954,0,0,874.551724137931,877.2413793103449,877.7413793103449,878.4137931034483,879.2413793103449,881.1034482758621,881.948275862069,883.2758620689655,884.1896551724138,884.7068965517242,884.8965517241379,885.5,886.6896551724138,887.5862068965517,888.2586206896551,888.8275862068965,889.1034482758621,890.0862068965517,890.7068965517242,891.0689655172414,891.7413793103449,892.3275862068965,893.0689655172414,893.8448275862069,894.2586206896551,895.1034482758621,895.5689655172414,896.5689655172414,897.1551724137931,898.3965517241379,898.6206896551724,899.4310344827586,900.0689655172414,901.1896551724138,902.551724137931,903.3448275862069,903.7758620689655,904.6551724137931,905.2586206896551,905.7931034482758,906.8103448275862,907.9655172413793,907.6896551724138,908.3275862068965,908.7068965517242,910.1034482758621,91471.86801426871,109178.42449464924,109439.98483947682,109079.89774078477,119350.42449464923,138412.54102259214,151994.2904280618,162948.95838287752,168611.77437574315,178290.2416765755,187453.26516052318,209780.31896551725,222064.86920332935,241613.20808561236,247912.98483947685,264954.83234244946,274150.74791914393,289906.6994649227,301989.1727110583,313978.82282996434,343617.67449464917,356340.59958382876,379868.96076099883,399490.8207491082,421555.5365636148,432535.64447086805,458131.7969678953,502265.9004161712,520908.44143876334,556567.3082639715,574749.0285374554,609065.3831747919,642790.7538644471,665110.6019619501,693128.7300832341,722678.1914387633,744268.8290725326,772070.9500594531,785346.8469084422,822736.9916765755,856691.5674791917,921944.4470868012,938297.1795481568,986769.56510107,1036899.3106420925,1113977.2996432816
0,541,16.409989274781328,2.598111904044261,-1.4233919205903476,-1.286616792050571,-0.13677512853977702,39.188104198659396,0.6879789807958878,779.1678244721095,1706.395281656235,1456.2305523075865,15.103540105299222,0,0,874.551724137931,876.6379310344828,877.1206896551724,877.3448275862069,877.7241379310345,879.6724137931035,880.2413793103449,881.3965517241379,882.4310344827586,882.948275862069,883.2241379310345,884.0689655172414,884.448275862069,885.1034482758621,885.4137931034483,886.3448275862069,887.7068965517242,888.6034482758621,889.9310344827586,890.3793103448276,891.2758620689655,892.7758620689655,893.948275862069,895.0862068965517,896.2413793103449,897.1896551724138,898.5689655172414,899.8275862068965,900.7758620689655,902.2758620689655,903.6379310344828,904.448275862069,905.5,906.7068965517242,908.5689655172414,908.8620689655172,910.1379310344828,911.4655172413793,912.448275862069,913.7931034482758,915.1034482758621,916.3275862068965,917.0862068965517,917.8448275862069,919.2241379310345,920.9137931034483,91471.86801426871,113416.67925089179,119197.41646848989,125937.74316290132,140413.64803804993,152302.944411415,163328.9762187872,176908.61860879906,185761.41765755054,189891.80766944113,202524.55321046372,225146.30558858503,239798.5921521998,249574.95481569562,254259.89774078477,252685.53626634958,256878.96581450652,259623.92895362663,256212.6159334126,271107.23543400713,279944.0273483948,284071.10493460164,295015.4283590963,308353.2511890606,311700.56242568366,330898.4295481569,337063.1073127229,362434.03923900117,381403.34631391196,411180.68252080854,429812.0930439953,460206.3507728895,501341.4224137931,521057.34512485145,537272.1417954816,583278.8085612367,596130.1533888229,621628.0419143876,630732.8680142686,639428.9571938168,668674.4030915577,710660.0478596909,747717.3891200954,775766.2690249702,821500.3463139122,894286.9753269916
0,601,17.80753352724273,2.8752802548737364,-1.1566670556386773,-1.0477004327939996,-0.1089666228446774,30.777263470536436,0.5437856215533442,664.3707513057453,1621.2319807151466,1187.1817597428687,14.489870591068527,0,0,874.551724137931,876.3275862068965,876.6206896551724,876.4655172413793,876.9137931034483,877.8103448275862,878.6551724137931,879.3103448275862,879.7241379310345,879.3448275862069,879.7413793103449,879.8448275862069,880.2413793103449,880.8448275862069,881.2758620689655,881.7758620689655,881.948275862069,882.5689655172414,882.7413793103449,883.2413793103449,884.0344827586207,884.2413793103449,884.6379310344828,885.4137931034483,886.1551724137931,886.3620689655172,886.5689655172414,887.1551724137931,887.5344827586207,887.7758620689655,887.8793103448276,888.1724137931035,889.0862068965517,889.1551724137931,889.6551724137931,889.3965517241379,889.8620689655172,890.4827586206897,891.2068965517242,892.0344827586207,893.1551724137931,893.8275862068965,892.948275862069,893.3793103448276,893.7068965517242,895.4655172413793,91471.86801426871,112910.39268727707,111394.99405469678,112661.35225921523,122554.07877526755,135053.05023781213,144133.95005945303,156553.28299643283,165988.92390011894,179663.60523186682,187961.98483947682,212847.95868014268,219004.14863258024,228706.75178359097,230035.51010701546,243218.96700356714,240934.18697978597,245399.45214030918,247293.60552913198,262491.7693222354,280574.61950059456,289472.8727705113,298241.299940547,308056.86325802613,324798.3379904875,332393.9895957193,347584.4866230678,372690.3379904876,388128.80053507723,402356.8980380499,422852.38198573125,445264.76337693224,474429.1822235434,496562.3035077289,513041.3983353151,547006.446195006,563576.1878715815,580189.1117717004,594300.6468489893,615482.1712247324,645712.0276456599,701787.7288941736,725150.4973246136,759708.2699167657,796828.2071938169,856119.7660523186
